MunicipalityName,MunicipalitiyCode,Date,N1-1_School closing,N1-1_IsGeneral,N1-1_Notes,N1-2_Workplace closing,N1-2_IsGeneral,N1-2_Notes,N1-3_Cancel public events,N1-3_IsGeneral,N1-3_Notes,N1-4_Close public transport,N1-4_IsGeneral,N1-4_Notes,N1-5_Public information campaigns,N1-5_IsGeneral,N1-5_Notes,N1-6_Restrictions on internal movement,N1-6_IsGeneral,N1-6_Notes,N1-7_International travel controls,N1-7_IsGeneral,N1-7_Notes,N1-8_Close public facility,N1-8_IsGeneral,N1-8_Notes,S8_Fiscal measures,S8_Notes,S9_Monetary measures,S9_Notes,S10_Emergency investment in health care,S10_Notes,S11_Investment in Vaccines,S11_Notes,S12_Testing framework,S12_Notes,S13_Contact tracing,S13_Notes,Stringency_sum,StringencyIndex,StringencyIndexForDisplay,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49
秋田,AK,2020-04-18,4.0,1.0,,4.0,2.0,file:///C:/Users/Owner/Downloads/uploads_public_archive_0000049283_00_%E6%9C%80%E7%B5%8203_%E3%80%90%E6%9C%AC%E9%83%A8%E4%BC%9A%E8%AD%B0%E7%94%A8%E3%80%91%E7%B7%8A%E6%80%A5%E4%BA%8B%E6%85%8B%E6%8E%AA%E7%BD%AE%E7%AD%89%EF%BC%88%E4%B8%80%E9%83%A8%E5%A4%89%E6%9B%B4%EF%BC%89%EF%BC%88%EF%BC%94%E6%9C%88%EF%BC%92%EF%BC%94%E6%97%A5%E5%A4%89%E6%9B%B4%EF%BC%89%EF%BC%88%E5%9F%BA%E6%9C%AC%E7%9A%84%E5%AF%BE%E5%87%A6%E6%96%B9%E9%87%9D%E3%81%AE%E5%88%A5%E6%B7%BB%E3%81%A7%E6%8E%B2%E3%81%92%E3%82%8B%E3%83%9B%E3%83%86%E3%83%AB%E3%83%BB%E5%AE%BF%E6%B3%8A%E7%AD%89%E3%81%AB%E3%81%A4%E3%81%84%E3%81%A6%EF%BC%89%20(2).pdf,4.0,2.0,https://www.pref.akita.lg.jp/pages/archive/49209,0.0,,,,,,2.0,1.0,https://www.pref.akita.lg.jp/pages/archive/49209,2.0,1.0,https://www.pref.akita.lg.jp/pages/archive/49209,4.0,1.0,,,,,,,,,,,,,,5.523809523809524,69.04761904761905,,,,,,,,,
秋田,AK,2020-04-19,4.0,1.0,,4.0,2.0,file:///C:/Users/Owner/Downloads/uploads_public_archive_0000049283_00_%E6%9C%80%E7%B5%8203_%E3%80%90%E6%9C%AC%E9%83%A8%E4%BC%9A%E8%AD%B0%E7%94%A8%E3%80%91%E7%B7%8A%E6%80%A5%E4%BA%8B%E6%85%8B%E6%8E%AA%E7%BD%AE%E7%AD%89%EF%BC%88%E4%B8%80%E9%83%A8%E5%A4%89%E6%9B%B4%EF%BC%89%EF%BC%88%EF%BC%94%E6%9C%88%EF%BC%92%EF%BC%94%E6%97%A5%E5%A4%89%E6%9B%B4%EF%BC%89%EF%BC%88%E5%9F%BA%E6%9C%AC%E7%9A%84%E5%AF%BE%E5%87%A6%E6%96%B9%E9%87%9D%E3%81%AE%E5%88%A5%E6%B7%BB%E3%81%A7%E6%8E%B2%E3%81%92%E3%82%8B%E3%83%9B%E3%83%86%E3%83%AB%E3%83%BB%E5%AE%BF%E6%B3%8A%E7%AD%89%E3%81%AB%E3%81%A4%E3%81%84%E3%81%A6%EF%BC%89%20(3).pdf,4.0,2.0,https://www.pref.akita.lg.jp/pages/archive/49210,0.0,,,,,,2.0,1.0,https://www.pref.akita.lg.jp/pages/archive/49210,2.0,1.0,https://www.pref.akita.lg.jp/pages/archive/49210,4.0,1.0,,,,,,,,,,,,,,5.523809523809524,69.04761904761905,,,,,,,,,
秋田,AK,2020-04-20,4.0,1.0,,4.0,2.0,file:///C:/Users/Owner/Downloads/uploads_public_archive_0000049283_00_%E6%9C%80%E7%B5%8203_%E3%80%90%E6%9C%AC%E9%83%A8%E4%BC%9A%E8%AD%B0%E7%94%A8%E3%80%91%E7%B7%8A%E6%80%A5%E4%BA%8B%E6%85%8B%E6%8E%AA%E7%BD%AE%E7%AD%89%EF%BC%88%E4%B8%80%E9%83%A8%E5%A4%89%E6%9B%B4%EF%BC%89%EF%BC%88%EF%BC%94%E6%9C%88%EF%BC%92%EF%BC%94%E6%97%A5%E5%A4%89%E6%9B%B4%EF%BC%89%EF%BC%88%E5%9F%BA%E6%9C%AC%E7%9A%84%E5%AF%BE%E5%87%A6%E6%96%B9%E9%87%9D%E3%81%AE%E5%88%A5%E6%B7%BB%E3%81%A7%E6%8E%B2%E3%81%92%E3%82%8B%E3%83%9B%E3%83%86%E3%83%AB%E3%83%BB%E5%AE%BF%E6%B3%8A%E7%AD%89%E3%81%AB%E3%81%A4%E3%81%84%E3%81%A6%EF%BC%89%20(4).pdf,4.0,2.0,https://www.pref.akita.lg.jp/pages/archive/49211,0.0,,,,,,2.0,1.0,https://www.pref.akita.lg.jp/pages/archive/49211,2.0,1.0,https://www.pref.akita.lg.jp/pages/archive/49211,4.0,1.0,,,,,,,,,,,,,,5.523809523809524,69.04761904761905,,,,,,,,,
秋田,AK,2020-04-21,4.0,1.0,https://www.pref.akita.lg.jp/pages/archive/49298,4.0,2.0,file:///C:/Users/Owner/Downloads/uploads_public_archive_0000049283_00_%E6%9C%80%E7%B5%8203_%E3%80%90%E6%9C%AC%E9%83%A8%E4%BC%9A%E8%AD%B0%E7%94%A8%E3%80%91%E7%B7%8A%E6%80%A5%E4%BA%8B%E6%85%8B%E6%8E%AA%E7%BD%AE%E7%AD%89%EF%BC%88%E4%B8%80%E9%83%A8%E5%A4%89%E6%9B%B4%EF%BC%89%EF%BC%88%EF%BC%94%E6%9C%88%EF%BC%92%EF%BC%94%E6%97%A5%E5%A4%89%E6%9B%B4%EF%BC%89%EF%BC%88%E5%9F%BA%E6%9C%AC%E7%9A%84%E5%AF%BE%E5%87%A6%E6%96%B9%E9%87%9D%E3%81%AE%E5%88%A5%E6%B7%BB%E3%81%A7%E6%8E%B2%E3%81%92%E3%82%8B%E3%83%9B%E3%83%86%E3%83%AB%E3%83%BB%E5%AE%BF%E6%B3%8A%E7%AD%89%E3%81%AB%E3%81%A4%E3%81%84%E3%81%A6%EF%BC%89%20(5).pdf,4.0,2.0,https://www.pref.akita.lg.jp/pages/archive/49212,0.0,,,,,,2.0,1.0,https://www.pref.akita.lg.jp/pages/archive/49212,2.0,1.0,https://www.pref.akita.lg.jp/pages/archive/49212,4.0,1.0,,,,,,,,,,,,,,5.523809523809524,69.04761904761905,,,,,,,,,
秋田,AK,2020-04-22,4.0,1.0,https://www.pref.akita.lg.jp/pages/archive/49299,4.0,2.0,file:///C:/Users/Owner/Downloads/uploads_public_archive_0000049283_00_%E6%9C%80%E7%B5%8203_%E3%80%90%E6%9C%AC%E9%83%A8%E4%BC%9A%E8%AD%B0%E7%94%A8%E3%80%91%E7%B7%8A%E6%80%A5%E4%BA%8B%E6%85%8B%E6%8E%AA%E7%BD%AE%E7%AD%89%EF%BC%88%E4%B8%80%E9%83%A8%E5%A4%89%E6%9B%B4%EF%BC%89%EF%BC%88%EF%BC%94%E6%9C%88%EF%BC%92%EF%BC%94%E6%97%A5%E5%A4%89%E6%9B%B4%EF%BC%89%EF%BC%88%E5%9F%BA%E6%9C%AC%E7%9A%84%E5%AF%BE%E5%87%A6%E6%96%B9%E9%87%9D%E3%81%AE%E5%88%A5%E6%B7%BB%E3%81%A7%E6%8E%B2%E3%81%92%E3%82%8B%E3%83%9B%E3%83%86%E3%83%AB%E3%83%BB%E5%AE%BF%E6%B3%8A%E7%AD%89%E3%81%AB%E3%81%A4%E3%81%84%E3%81%A6%EF%BC%89%20(6).pdf,4.0,2.0,https://www.pref.akita.lg.jp/pages/archive/49213,0.0,,,,,,2.0,1.0,https://www.pref.akita.lg.jp/pages/archive/49213,2.0,1.0,https://www.pref.akita.lg.jp/pages/archive/49213,4.0,1.0,,,,,,,,,,,,,,5.523809523809524,69.04761904761905,,,,,,,,,
秋田,AK,2020-04-23,4.0,1.0,https://www.pref.akita.lg.jp/pages/archive/49300,4.0,2.0,file:///C:/Users/Owner/Downloads/uploads_public_archive_0000049283_00_%E6%9C%80%E7%B5%8203_%E3%80%90%E6%9C%AC%E9%83%A8%E4%BC%9A%E8%AD%B0%E7%94%A8%E3%80%91%E7%B7%8A%E6%80%A5%E4%BA%8B%E6%85%8B%E6%8E%AA%E7%BD%AE%E7%AD%89%EF%BC%88%E4%B8%80%E9%83%A8%E5%A4%89%E6%9B%B4%EF%BC%89%EF%BC%88%EF%BC%94%E6%9C%88%EF%BC%92%EF%BC%94%E6%97%A5%E5%A4%89%E6%9B%B4%EF%BC%89%EF%BC%88%E5%9F%BA%E6%9C%AC%E7%9A%84%E5%AF%BE%E5%87%A6%E6%96%B9%E9%87%9D%E3%81%AE%E5%88%A5%E6%B7%BB%E3%81%A7%E6%8E%B2%E3%81%92%E3%82%8B%E3%83%9B%E3%83%86%E3%83%AB%E3%83%BB%E5%AE%BF%E6%B3%8A%E7%AD%89%E3%81%AB%E3%81%A4%E3%81%84%E3%81%A6%EF%BC%89%20(7).pdf,4.0,2.0,https://www.pref.akita.lg.jp/pages/archive/49214,0.0,,,,,,2.0,1.0,https://www.pref.akita.lg.jp/pages/archive/49214,2.0,1.0,https://www.pref.akita.lg.jp/pages/archive/49214,4.0,1.0,,,,,,,,,,,,,,5.523809523809524,69.04761904761905,,,,,,,,,
秋田,AK,2020-04-24,4.0,1.0,https://www.pref.akita.lg.jp/pages/archive/49301,4.0,2.0,file:///C:/Users/Owner/Downloads/uploads_public_archive_0000049283_00_%E6%9C%80%E7%B5%8203_%E3%80%90%E6%9C%AC%E9%83%A8%E4%BC%9A%E8%AD%B0%E7%94%A8%E3%80%91%E7%B7%8A%E6%80%A5%E4%BA%8B%E6%85%8B%E6%8E%AA%E7%BD%AE%E7%AD%89%EF%BC%88%E4%B8%80%E9%83%A8%E5%A4%89%E6%9B%B4%EF%BC%89%EF%BC%88%EF%BC%94%E6%9C%88%EF%BC%92%EF%BC%94%E6%97%A5%E5%A4%89%E6%9B%B4%EF%BC%89%EF%BC%88%E5%9F%BA%E6%9C%AC%E7%9A%84%E5%AF%BE%E5%87%A6%E6%96%B9%E9%87%9D%E3%81%AE%E5%88%A5%E6%B7%BB%E3%81%A7%E6%8E%B2%E3%81%92%E3%82%8B%E3%83%9B%E3%83%86%E3%83%AB%E3%83%BB%E5%AE%BF%E6%B3%8A%E7%AD%89%E3%81%AB%E3%81%A4%E3%81%84%E3%81%A6%EF%BC%89%20(8).pdf,4.0,2.0,https://www.pref.akita.lg.jp/pages/archive/49215,0.0,,,,,,2.0,1.0,https://www.pref.akita.lg.jp/pages/archive/49215,2.0,1.0,https://www.pref.akita.lg.jp/pages/archive/49215,4.0,1.0,,,,,,,,,,,,,,5.523809523809524,69.04761904761905,,,,,,,,,
秋田,AK,2020-04-25,4.0,1.0,https://www.pref.akita.lg.jp/pages/archive/49302,4.0,2.0,file:///C:/Users/Owner/Downloads/uploads_public_archive_0000049283_00_%E6%9C%80%E7%B5%8203_%E3%80%90%E6%9C%AC%E9%83%A8%E4%BC%9A%E8%AD%B0%E7%94%A8%E3%80%91%E7%B7%8A%E6%80%A5%E4%BA%8B%E6%85%8B%E6%8E%AA%E7%BD%AE%E7%AD%89%EF%BC%88%E4%B8%80%E9%83%A8%E5%A4%89%E6%9B%B4%EF%BC%89%EF%BC%88%EF%BC%94%E6%9C%88%EF%BC%92%EF%BC%94%E6%97%A5%E5%A4%89%E6%9B%B4%EF%BC%89%EF%BC%88%E5%9F%BA%E6%9C%AC%E7%9A%84%E5%AF%BE%E5%87%A6%E6%96%B9%E9%87%9D%E3%81%AE%E5%88%A5%E6%B7%BB%E3%81%A7%E6%8E%B2%E3%81%92%E3%82%8B%E3%83%9B%E3%83%86%E3%83%AB%E3%83%BB%E5%AE%BF%E6%B3%8A%E7%AD%89%E3%81%AB%E3%81%A4%E3%81%84%E3%81%A6%EF%BC%89%20(9).pdf,4.0,2.0,https://www.pref.akita.lg.jp/pages/archive/49216,0.0,,,,,,2.0,1.0,https://www.pref.akita.lg.jp/pages/archive/49216,2.0,1.0,https://www.pref.akita.lg.jp/pages/archive/49216,4.0,1.0,,,,,,,,,,,,,,5.523809523809524,69.04761904761905,,,,,,,,,
秋田,AK,2020-04-26,4.0,1.0,https://www.pref.akita.lg.jp/pages/archive/49303,4.0,2.0,file:///C:/Users/Owner/Downloads/uploads_public_archive_0000049283_00_%E6%9C%80%E7%B5%8203_%E3%80%90%E6%9C%AC%E9%83%A8%E4%BC%9A%E8%AD%B0%E7%94%A8%E3%80%91%E7%B7%8A%E6%80%A5%E4%BA%8B%E6%85%8B%E6%8E%AA%E7%BD%AE%E7%AD%89%EF%BC%88%E4%B8%80%E9%83%A8%E5%A4%89%E6%9B%B4%EF%BC%89%EF%BC%88%EF%BC%94%E6%9C%88%EF%BC%92%EF%BC%94%E6%97%A5%E5%A4%89%E6%9B%B4%EF%BC%89%EF%BC%88%E5%9F%BA%E6%9C%AC%E7%9A%84%E5%AF%BE%E5%87%A6%E6%96%B9%E9%87%9D%E3%81%AE%E5%88%A5%E6%B7%BB%E3%81%A7%E6%8E%B2%E3%81%92%E3%82%8B%E3%83%9B%E3%83%86%E3%83%AB%E3%83%BB%E5%AE%BF%E6%B3%8A%E7%AD%89%E3%81%AB%E3%81%A4%E3%81%84%E3%81%A6%EF%BC%89%20(10).pdf,4.0,2.0,https://www.pref.akita.lg.jp/pages/archive/49217,0.0,,,,,,2.0,1.0,https://www.pref.akita.lg.jp/pages/archive/49217,2.0,1.0,https://www.pref.akita.lg.jp/pages/archive/49217,4.0,1.0,,,,,,,,,,,,,,5.523809523809524,69.04761904761905,,,,,,,,,
秋田,AK,2020-04-27,4.0,1.0,https://www.pref.akita.lg.jp/pages/archive/49304,4.0,2.0,file:///C:/Users/Owner/Downloads/uploads_public_archive_0000049283_00_%E6%9C%80%E7%B5%8203_%E3%80%90%E6%9C%AC%E9%83%A8%E4%BC%9A%E8%AD%B0%E7%94%A8%E3%80%91%E7%B7%8A%E6%80%A5%E4%BA%8B%E6%85%8B%E6%8E%AA%E7%BD%AE%E7%AD%89%EF%BC%88%E4%B8%80%E9%83%A8%E5%A4%89%E6%9B%B4%EF%BC%89%EF%BC%88%EF%BC%94%E6%9C%88%EF%BC%92%EF%BC%94%E6%97%A5%E5%A4%89%E6%9B%B4%EF%BC%89%EF%BC%88%E5%9F%BA%E6%9C%AC%E7%9A%84%E5%AF%BE%E5%87%A6%E6%96%B9%E9%87%9D%E3%81%AE%E5%88%A5%E6%B7%BB%E3%81%A7%E6%8E%B2%E3%81%92%E3%82%8B%E3%83%9B%E3%83%86%E3%83%AB%E3%83%BB%E5%AE%BF%E6%B3%8A%E7%AD%89%E3%81%AB%E3%81%A4%E3%81%84%E3%81%A6%EF%BC%89%20(11).pdf,4.0,2.0,https://www.pref.akita.lg.jp/pages/archive/49218,0.0,,,,,,2.0,1.0,https://www.pref.akita.lg.jp/pages/archive/49218,2.0,1.0,https://www.pref.akita.lg.jp/pages/archive/49218,4.0,1.0,,,,,,,,,,,,,,5.523809523809524,69.04761904761905,,,,,,,,,
秋田,AK,2020-04-28,4.0,1.0,https://www.pref.akita.lg.jp/pages/archive/49305,4.0,2.0,file:///C:/Users/Owner/Downloads/uploads_public_archive_0000049283_00_%E6%9C%80%E7%B5%8203_%E3%80%90%E6%9C%AC%E9%83%A8%E4%BC%9A%E8%AD%B0%E7%94%A8%E3%80%91%E7%B7%8A%E6%80%A5%E4%BA%8B%E6%85%8B%E6%8E%AA%E7%BD%AE%E7%AD%89%EF%BC%88%E4%B8%80%E9%83%A8%E5%A4%89%E6%9B%B4%EF%BC%89%EF%BC%88%EF%BC%94%E6%9C%88%EF%BC%92%EF%BC%94%E6%97%A5%E5%A4%89%E6%9B%B4%EF%BC%89%EF%BC%88%E5%9F%BA%E6%9C%AC%E7%9A%84%E5%AF%BE%E5%87%A6%E6%96%B9%E9%87%9D%E3%81%AE%E5%88%A5%E6%B7%BB%E3%81%A7%E6%8E%B2%E3%81%92%E3%82%8B%E3%83%9B%E3%83%86%E3%83%AB%E3%83%BB%E5%AE%BF%E6%B3%8A%E7%AD%89%E3%81%AB%E3%81%A4%E3%81%84%E3%81%A6%EF%BC%89%20(12).pdf,4.0,2.0,https://www.pref.akita.lg.jp/pages/archive/49219,0.0,,,,,,2.0,1.0,https://www.pref.akita.lg.jp/pages/archive/49219,2.0,1.0,https://www.pref.akita.lg.jp/pages/archive/49219,4.0,1.0,,,,,,,,,,,,,,5.523809523809524,69.04761904761905,,,,,,,,,
秋田,AK,2020-04-29,4.0,1.0,https://www.pref.akita.lg.jp/pages/archive/49306,4.0,2.0,file:///C:/Users/Owner/Downloads/uploads_public_archive_0000049283_00_%E6%9C%80%E7%B5%8203_%E3%80%90%E6%9C%AC%E9%83%A8%E4%BC%9A%E8%AD%B0%E7%94%A8%E3%80%91%E7%B7%8A%E6%80%A5%E4%BA%8B%E6%85%8B%E6%8E%AA%E7%BD%AE%E7%AD%89%EF%BC%88%E4%B8%80%E9%83%A8%E5%A4%89%E6%9B%B4%EF%BC%89%EF%BC%88%EF%BC%94%E6%9C%88%EF%BC%92%EF%BC%94%E6%97%A5%E5%A4%89%E6%9B%B4%EF%BC%89%EF%BC%88%E5%9F%BA%E6%9C%AC%E7%9A%84%E5%AF%BE%E5%87%A6%E6%96%B9%E9%87%9D%E3%81%AE%E5%88%A5%E6%B7%BB%E3%81%A7%E6%8E%B2%E3%81%92%E3%82%8B%E3%83%9B%E3%83%86%E3%83%AB%E3%83%BB%E5%AE%BF%E6%B3%8A%E7%AD%89%E3%81%AB%E3%81%A4%E3%81%84%E3%81%A6%EF%BC%89%20(13).pdf,4.0,2.0,https://www.pref.akita.lg.jp/pages/archive/49220,0.0,,,,,,2.0,1.0,https://www.pref.akita.lg.jp/pages/archive/49220,2.0,1.0,https://www.pref.akita.lg.jp/pages/archive/49220,4.0,1.0,,,,,,,,,,,,,,5.523809523809524,69.04761904761905,,,,,,,,,
秋田,AK,2020-04-30,4.0,1.0,https://www.pref.akita.lg.jp/pages/archive/49307,4.0,2.0,file:///C:/Users/Owner/Downloads/uploads_public_archive_0000049283_00_%E6%9C%80%E7%B5%8203_%E3%80%90%E6%9C%AC%E9%83%A8%E4%BC%9A%E8%AD%B0%E7%94%A8%E3%80%91%E7%B7%8A%E6%80%A5%E4%BA%8B%E6%85%8B%E6%8E%AA%E7%BD%AE%E7%AD%89%EF%BC%88%E4%B8%80%E9%83%A8%E5%A4%89%E6%9B%B4%EF%BC%89%EF%BC%88%EF%BC%94%E6%9C%88%EF%BC%92%EF%BC%94%E6%97%A5%E5%A4%89%E6%9B%B4%EF%BC%89%EF%BC%88%E5%9F%BA%E6%9C%AC%E7%9A%84%E5%AF%BE%E5%87%A6%E6%96%B9%E9%87%9D%E3%81%AE%E5%88%A5%E6%B7%BB%E3%81%A7%E6%8E%B2%E3%81%92%E3%82%8B%E3%83%9B%E3%83%86%E3%83%AB%E3%83%BB%E5%AE%BF%E6%B3%8A%E7%AD%89%E3%81%AB%E3%81%A4%E3%81%84%E3%81%A6%EF%BC%89%20(14).pdf,4.0,2.0,https://www.pref.akita.lg.jp/pages/archive/49221,0.0,,,,,,2.0,1.0,https://www.pref.akita.lg.jp/pages/archive/49221,2.0,1.0,https://www.pref.akita.lg.jp/pages/archive/49221,4.0,1.0,,,,,,,,,,,,,,5.523809523809524,69.04761904761905,,,,,,,,,
秋田,AK,2020-05-01,4.0,1.0,https://www.pref.akita.lg.jp/pages/archive/49308,4.0,2.0,file:///C:/Users/Owner/Downloads/uploads_public_archive_0000049283_00_%E6%9C%80%E7%B5%8203_%E3%80%90%E6%9C%AC%E9%83%A8%E4%BC%9A%E8%AD%B0%E7%94%A8%E3%80%91%E7%B7%8A%E6%80%A5%E4%BA%8B%E6%85%8B%E6%8E%AA%E7%BD%AE%E7%AD%89%EF%BC%88%E4%B8%80%E9%83%A8%E5%A4%89%E6%9B%B4%EF%BC%89%EF%BC%88%EF%BC%94%E6%9C%88%EF%BC%92%EF%BC%94%E6%97%A5%E5%A4%89%E6%9B%B4%EF%BC%89%EF%BC%88%E5%9F%BA%E6%9C%AC%E7%9A%84%E5%AF%BE%E5%87%A6%E6%96%B9%E9%87%9D%E3%81%AE%E5%88%A5%E6%B7%BB%E3%81%A7%E6%8E%B2%E3%81%92%E3%82%8B%E3%83%9B%E3%83%86%E3%83%AB%E3%83%BB%E5%AE%BF%E6%B3%8A%E7%AD%89%E3%81%AB%E3%81%A4%E3%81%84%E3%81%A6%EF%BC%89%20(15).pdf,4.0,2.0,https://www.pref.akita.lg.jp/pages/archive/49222,0.0,,,,,,2.0,1.0,https://www.pref.akita.lg.jp/pages/archive/49222,2.0,1.0,https://www.pref.akita.lg.jp/pages/archive/49222,4.0,1.0,,,,,,,,,,,,,,5.523809523809524,69.04761904761905,,,,,,,,,
